GE US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
Accounting Standard,ACCOUNTING_STANDARD,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,N.A.,US GAAP,US GAAP,US GAAP,N.A.,US GAAP,US GAAP,US GAAP,N.A.,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
EBITDA,EBITDA,2065,2250,2230,2358,2217,2388,2157,2411,2110,2322,2087,2564,2265,1632,2620,2774,2459,3054,2792,3344,2924,3505,3287,3692,3243,3794,3746,4017,3555,4284,3996,2101,4414,4638,4634,6400,4858,5839,5661,6131,6201,6982,6487,7090,6323,7217,6469,6892,6417,7295,6713,4571,6062,6802,6897,7370,6304,6592,7513,8865,6780,7232,8011,9392,7094,7639,7664,9275,8645,8452,8427,10316,8387,9584,7720,6239,5563,5811,4827,5540,5505,6836,6443,6131,6313,7010,6292,6406,5759,6290,5617,7188,5054,6106,6055,6438,5652,3133,4635,5306,2858,3309,3626,3478,3185,6445,4170,5251,3272,4201,2997,-10315,3913,4247,-20015,2675,3496,2576,1758,,1397,-1254,1190,1729,1249,1423,1847,2169,379,1045,351,1545,802,1524,1390,1408,1386,1603,1497
EBITDA Margin (T12M),EBITDA_MARGIN,,,,15.44,15.5131,15.6458,15.4584,15.4482,15.4927,15.5438,15.508,16.1407,16.593,15.497,16.7219,16.8627,16.9251,19.0359,18.8871,19.6389,19.6519,19.4661,19.4293,19.3545,19.2635,19.3244,19.2384,18.8437,18.5178,18.4493,18.3235,15.7398,16.2581,16.1041,16.4036,20.1222,20.242,20.9556,21.3022,20.2911,20.4225,20.435,20.3148,20.6773,20.6902,21.0177,21.4098,21.4045,21.4739,21.2945,21.0221,19.0523,18.791,18.418,18.4282,20.3099,20.0686,19.4184,19.1873,19.2908,19.4991,20.0194,20.6276,21.477,21.5318,21.6379,21.2205,21.0708,21.5899,21.5771,21.4066,21.1484,20.6353,20.5896,19.6894,17.592,16.3646,14.8935,13.9583,13.9917,14.1507,15.0579,16.3655,16.7689,17.4477,17.7647,17.707,18.2958,17.9291,17.2998,16.7507,17.2203,16.8715,16.8665,17.1953,16.5478,16.9634,15.2064,14.5502,14.3439,12.9219,13.4436,13.0356,11.5241,11.6324,14.0863,14.4013,15.9174,16.1188,14.3798,13.1988,0.1311,0.6681,0.7063,-19.8044,-8.5922,-9.4781,-11.7981,11.0029,,,,,4.0365,3.968,7.466,8.3389,9.014,8.3352,8.2833,6.4052,5.265,5.7701,7.0962,8.4347,8.5386,9.2697,9.3465,10.8322
EBIT,EBIT,1445,1679,1556,1715,1532,1720,1452,1815,1440,1710,1340,1775,1557,898,1832,1781,1725,2267,1989,2461,2062,2610,2428,2714,2351,2862,2774,3028,2603,3305,2947,999,2991,3632,3482,3775,3345,4170,3986,4297,4248,5064,4621,5113,4675,5477,4586,5541,5114,5625,5019,2727,4397,5084,5156,5538,4307,4535,5409,6674,4500,5246,5794,7338,4962,5720,5556,6975,6205,6041,5847,7472,5705,6910,4860,2963,2832,3307,2169,2816,3030,4473,3832,3794,4021,4708,3942,4364,3539,4017,3411,4695,2745,3841,3478,3828,3377,3013,3210,4173,1757,2121,2361,2185,1975,5150,3034,3895,1540,2532,426,-11081,2039,2332,-21323,1190,1909,1030,437,115,618,-2013,28,667,496,652,1121,1410,-946,529,-131,809,295,1013,863,874,675,1553,872
Gross Margin,GROSS_MARGIN,35.1862,35.3876,34.3701,32.8343,36.1367,36.2509,34.4017,30.63,39.8518,38.9588,38.2336,37.9613,41.9507,35.4741,43.0902,43.4648,44.6953,43.2258,44.2097,42.318,44.9291,45.1957,47.4783,42.9887,48.804,48.1879,48.9301,41.7323,49.4449,47.4565,48.2757,40.2557,48.8401,48.3673,48.924,48.5574,51.4587,50.7664,50.2508,48.3715,51.7794,51.0557,50.3965,52.2086,51.7283,51.6671,51.6398,54.7248,40.3138,39.8935,40.76,34.3611,41.6828,54.9797,55.264,51.2687,53.9668,51.1236,40.95,51.3053,41.8711,41.5797,43.4136,42.2808,42.2022,42.5595,40.5822,39.7965,43.2629,41.731,40.9253,40.0424,40.0451,40.4505,36.5025,35.9845,37.035,38.4476,37.3464,37.4573,38.4755,41.1678,40.4849,39.3431,39.3845,37.8239,39.5714,43.7197,36.8798,36.5626,37.7929,42.0779,38.9102,38.3035,36.6791,36.9677,36.9483,32.0594,32.6101,26.3649,24.7653,23.8839,24.2112,25.0939,26.8537,26.2358,27.7981,26.7825,24.7396,25.6865,22.8027,19.7608,24.7481,25.4201,23.7047,22.3593,26.9976,25.6342,25.8219,34.554,25.9774,18.8753,24.2215,25.0226,26.5597,25.3931,27.8259,29.3799,22.8876,25.4973,20.2903,29.0049,25.9354,34.9857,25.6082,25.8817,27.6148,38.6958,
Operating Margin,OPER_MARGIN,11.6242,11.8123,11.0747,10.1079,11.6599,11.78,10.161,10.4617,11.7283,12.2283,9.5906,11.0661,13.3328,6.6672,13.9645,10.581,13.6677,15.3956,13.7352,14.0717,13.7945,14.8043,14.1566,13.8845,13.8858,15.1421,13.9671,13.2528,13.0163,15.1189,13.5146,4.0159,13.3176,14.57,14.5216,13.2666,13.9016,15.3281,14.702,13.2407,14.1955,15.4735,14.4854,14.6656,15.3611,17.2119,15.57,16.3115,16.7859,16.9193,15.557,7.7421,14.4633,15.3017,15.5357,15.0608,12.9678,12.3532,14.2032,15.2569,13.2225,14.5953,16.0851,18.2193,14.1291,15.4174,14.8926,17.1019,16.0382,14.7485,13.8791,15.6672,13.6965,14.7523,10.4091,6.3968,7.4507,8.4634,5.8055,6.8784,8.4509,12.2046,10.8907,9.2788,11.5866,13.4518,11.325,11.5716,10.2511,11.1571,9.6174,12.247,8.2363,10.9884,9.8532,9.7266,10.1253,9.4386,10.0788,12.4839,6.7326,7.4562,8.4748,6.6703,7.0951,16.9721,10.4484,11.9961,5.7292,8.7019,1.3893,-35.0631,7.3377,7.9967,-91.1551,4.4907,8.5983,4.3991,1.8707,0.5413,3.1709,-11.9786,0.1511,3.1712,2.9055,3.572,6.0369,6.9448,-7.4635,3.7446,-0.9053,3.7134,2.0364,11.5705,4.9752,4.4998,4.2048,17.0772,8.86
Profit Margin,PROF_MARGIN,7.6422,7.6544,7.3025,7.3024,-6.0887,7.746,7.2918,7.28,8.617,8.6957,7.9445,8.3603,2.5518,9.9042,9.1928,8.775,8.4621,10.3362,9.4469,4.3913,9.1785,9.7901,9.3872,9.5411,8.9599,10.0947,9.0026,9.0467,8.3858,9.8902,9.236,9.4469,8.4198,9.8283,9.5254,9.3868,8.956,10.3657,9.7853,9.5184,8.6617,10.3218,9.9683,10.2828,8.4544,12.2466,11.1394,11.5779,8.2157,13.3129,12.6682,8.8067,9.8648,11.4191,10.9949,12.4011,9.7552,10.6889,10.6373,12.8726,11.6505,12.9288,12.9841,8.4964,12.6427,13.3312,13.0431,15.7926,11.8147,13.1396,13.1955,14.0401,10.333,10.8284,9.2354,8.0354,7.4428,6.8818,6.6754,7.3596,5.4248,8.4829,5.8404,11.091,9.8922,10.7546,9.2622,9.8905,8.7883,8.624,9.843,10.4628,10.5827,8.963,9.0402,8.1462,8.992,11.1052,11.1055,15.4127,-52.0098,-4.781,8.9953,19.2356,0.8191,9.5834,6.9805,11.2938,-0.3088,3.6327,4.4353,-34.2309,-4.1277,2.7433,-97.3367,2.8718,16.1607,0.5424,-40.3382,3.4267,31.8061,-11.8239,-6.1741,12.5327,-16.4138,-6.1962,6.7693,-18.9282,-8.9625,-6.2434,1.1126,10.1992,51.8155,0.3769,2.0062,8.1913,9.5745,13.9213,18.8173
Sales per Employee,ACTUAL_SALES_PER_EMPL,,,,56936.2416,,,,61088.0282,,,,59850.7463,,,,75819.8198,,,,,,,,88049.5495,,,,95598.3264,,,,90130.4348,,,,97116.041,,,,,,,,,,,,,,,,111819.0476,,,,120560.6557,,,,,,,,,,,,,,,,,,,,,,,,134671.0526,,,,142470.3833,,,,125292.3588,,,,125691.8033,,,,128195.4397,,,,109596.7213,,,,98369.3694,,,,110064.4068,,,,100968.0511,,,,93636.0424,,,,103634.1463,,,,120879.3103,,,,120851.1905,,,,126662.7907,,,,155384,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returns,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Common Equity,RETURN_COM_EQY,,,,,11.9977,11.993,12.444,12.1578,20.6787,20.5969,21.259,20.9339,17.4716,17.7711,17.7471,17.5111,20.68,21.0293,21.2313,18.1035,19.0986,19.163,19.8586,23.4767,23.7595,23.9841,24.2926,23.9734,24.91,25.2602,24.8685,25.0233,25.8258,25.905,25.3313,25.358,26.0094,26.411,26.7024,26.3197,26.7832,27.385,27.905,27.3727,26.6505,26.9623,26.3188,25.9866,25.6623,25.4884,25.8064,23.8218,24.0502,21.3964,20.1041,20.9986,19.9458,18.0593,18.1053,17.7325,,,,15.18,,,,18.7386,,,,19.5607,,,18.1064,15.7431,14.5471,11.5633,9.9488,9.6641,9.103,9.0784,8.4285,9.6043,10.8131,11.2699,11.6668,11.2757,10.5759,9.8407,10.8172,11.3929,11.6052,11.6738,11.3047,10.2976,9.8055,10.0896,10.3124,11.7754,-1.114,-5.1282,-5.9098,-5.4269,7.3812,11.8095,11.3652,9.3917,9.805,7.8403,7.0492,-13.5309,-15.3073,-15.8616,-63.9324,-52.4207,-39.6668,-41.2593,-18.2026,-18.3517,-8.0417,-14.2489,10.8676,16.3775,-11.0403,-8.3694,-1.1734,-17.8143,-13.9712,-14.1825,-17.2556,0.1983,24.4168,29.0084,32.3211,28.818,10.9259,18.6828,
Return on Assets,RETURN_ON_ASSET,,,,,1.7881,1.7716,1.6661,1.6365,2.633,2.6378,2.5052,2.6167,1.9786,1.9606,1.9225,1.942,2.0884,2.1572,2.227,2.1611,2.1491,2.242,2.3312,3.1761,3.1375,3.0867,3.0501,2.9095,2.9743,2.9537,2.9633,2.8462,2.9033,2.9124,2.8955,2.8172,2.8474,2.8897,2.8816,2.8161,2.8477,2.956,3.0169,3.0242,2.9585,3.0447,2.9927,2.9364,2.9005,2.8681,2.9438,2.6382,2.6954,2.4196,2.2908,2.4539,2.4472,2.3435,2.3694,2.41,,,,2.3473,,,,3.0209,,,,2.9762,,,2.562,2.1852,1.9985,1.6678,1.451,1.3959,1.3186,1.3822,1.3089,1.5224,1.7449,1.8509,1.9988,1.9304,1.9159,1.8261,1.86,1.9441,2.0508,2.0909,2.0381,1.9465,1.8941,1.9721,2.0263,2.323,-0.2109,-0.9889,-1.1816,-1.0672,1.4215,2.3594,2.3661,2.0577,2.0935,1.7618,1.5674,-2.3104,-2.6905,-2.8085,-9.8398,-6.5719,-5.2348,-5.5867,-1.7216,-1.7284,-0.821,-1.5769,1.4676,2.188,-1.3001,-0.9882,-0.0163,-2.865,-2.2204,-2.1763,-2.7272,0.1888,5.054,5.6934,5.9898,5.4031,2.1369,3.3138,
Return on Capital,RETURN_ON_CAP,,,,,3.9365,3.8424,3.6465,3.5227,5.4166,5.3027,5.3517,5.1954,4.4745,4.462,4.4472,4.3911,4.9687,5.0563,5.0284,4.3878,4.3955,4.4532,4.5442,5.327,5.2506,5.2254,5.2189,5.1051,5.2028,5.2534,5.272,5.2153,5.3278,5.3346,5.2347,5.0751,5.1196,5.1598,5.141,4.9793,5.2225,5.3753,5.5043,5.4229,5.4899,5.5894,5.538,5.3203,5.2368,5.1383,5.2828,4.6459,4.7152,4.2268,4.142,4.3474,4.2827,3.9602,4.1435,4.232,,,,3.8671,,,,4.4024,,,,4.1721,,,3.6072,3.1512,2.7618,2.286,1.9758,1.9844,1.8526,2.0959,1.9656,2.4251,2.5867,2.8144,2.9343,2.9717,2.8777,2.7698,2.7395,3.1124,3.2931,3.4078,3.1314,3.2434,3.1986,3.3248,3.2024,4.0374,-0.1368,-1.3132,-1.5634,-1.5665,3.1889,4.5555,4.7432,4.563,4.5426,4.0131,3.6762,-2.6544,-2.8331,-3.0059,-15.2032,-10.1302,-7.5773,-8.3488,-0.8746,,,,,6.006,-1.619,-0.8655,1.2334,-5.2439,-3.7674,-3.8575,-5.1854,2.1748,15.4925,17.5374,19.003,16.8367,7.9635,11.9243,
Return on Invested Capital,RETURN_ON_INV_CAPITAL,,,,,5.4362,5.2494,5.0115,4.7179,4.776,4.5848,4.4581,4.0749,4.327,3.6877,3.8179,3.6465,3.8724,4.6583,4.7632,4.7227,4.7783,4.8016,4.8204,4.7179,4.8826,4.8732,4.89,4.7072,4.9173,4.9867,4.9951,3.9306,4.0372,4.0704,4.0391,4.6107,4.6732,4.7069,4.7292,4.512,4.9703,5.1546,5.2711,5.2571,5.2908,5.3819,5.5542,5.3541,5.7149,5.866,5.8864,5.1131,4.7903,4.3434,4.2283,4.4558,4.4147,3.9785,4.1751,4.1532,,,,3.9911,,,,3.1291,,,,3.8954,,,3.8862,3.9674,3.9383,3.6274,3.5196,3.5341,3.5274,3.6419,3.5028,3.7792,3.4398,3.4891,3.3464,3.6097,3.7779,3.8038,3.7022,4.2457,4.4023,4.5924,4.2944,4.7268,4.7651,4.6221,4.2619,4.2589,2.1376,1.6706,1.3333,1.2674,3.2868,4.4862,4.9488,6.3413,6.2438,5.6243,4.6837,-1.5151,-1.2014,-1.5076,-13.2569,-8.0384,-7.7686,-8.3368,4.9948,4.1624,3.1209,1.3587,1.9449,2.1461,1.5164,3.7991,5.1085,7.7109,5.1929,4.2066,2.3656,0.611,2.1301,2.8574,3.4728,0.8466,1.6441,3.3991,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margins,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Margin,GROSS_MARGIN,35.1862,35.3876,34.3701,32.8343,36.1367,36.2509,34.4017,30.63,39.8518,38.9588,38.2336,37.9613,41.9507,35.4741,43.0902,43.4648,44.6953,43.2258,44.2097,42.318,44.9291,45.1957,47.4783,42.9887,48.804,48.1879,48.9301,41.7323,49.4449,47.4565,48.2757,40.2557,48.8401,48.3673,48.924,48.5574,51.4587,50.7664,50.2508,48.3715,51.7794,51.0557,50.3965,52.2086,51.7283,51.6671,51.6398,54.7248,40.3138,39.8935,40.76,34.3611,41.6828,54.9797,55.264,51.2687,53.9668,51.1236,40.95,51.3053,41.8711,41.5797,43.4136,42.2808,42.2022,42.5595,40.5822,39.7965,43.2629,41.731,40.9253,40.0424,40.0451,40.4505,36.5025,35.9845,37.035,38.4476,37.3464,37.4573,38.4755,41.1678,40.4849,39.3431,39.3845,37.8239,39.5714,43.7197,36.8798,36.5626,37.7929,42.0779,38.9102,38.3035,36.6791,36.9677,36.9483,32.0594,32.6101,26.3649,24.7653,23.8839,24.2112,25.0939,26.8537,26.2358,27.7981,26.7825,24.7396,25.6865,22.8027,19.7608,24.7481,25.4201,23.7047,22.3593,26.9976,25.6342,25.8219,34.554,25.9774,18.8753,24.2215,25.0226,26.5597,25.3931,27.8259,29.3799,22.8876,25.4973,20.2903,29.0049,25.9354,34.9857,25.6082,25.8817,27.6148,38.6958,
Operating Margin,OPER_MARGIN,11.6242,11.8123,11.0747,10.1079,11.6599,11.78,10.161,10.4617,11.7283,12.2283,9.5906,11.0661,13.3328,6.6672,13.9645,10.581,13.6677,15.3956,13.7352,14.0717,13.7945,14.8043,14.1566,13.8845,13.8858,15.1421,13.9671,13.2528,13.0163,15.1189,13.5146,4.0159,13.3176,14.57,14.5216,13.2666,13.9016,15.3281,14.702,13.2407,14.1955,15.4735,14.4854,14.6656,15.3611,17.2119,15.57,16.3115,16.7859,16.9193,15.557,7.7421,14.4633,15.3017,15.5357,15.0608,12.9678,12.3532,14.2032,15.2569,13.2225,14.5953,16.0851,18.2193,14.1291,15.4174,14.8926,17.1019,16.0382,14.7485,13.8791,15.6672,13.6965,14.7523,10.4091,6.3968,7.4507,8.4634,5.8055,6.8784,8.4509,12.2046,10.8907,9.2788,11.5866,13.4518,11.325,11.5716,10.2511,11.1571,9.6174,12.247,8.2363,10.9884,9.8532,9.7266,10.1253,9.4386,10.0788,12.4839,6.7326,7.4562,8.4748,6.6703,7.0951,16.9721,10.4484,11.9961,5.7292,8.7019,1.3893,-35.0631,7.3377,7.9967,-91.1551,4.4907,8.5983,4.3991,1.8707,0.5413,3.1709,-11.9786,0.1511,3.1712,2.9055,3.572,6.0369,6.9448,-7.4635,3.7446,-0.9053,3.7134,2.0364,11.5705,4.9752,4.4998,4.2048,17.0772,8.86
Incremental Operating Margin,INCREMENTAL_OPERATING_MARGIN,,,,,12.2881,10.5943,,26.178,-10.6852,-1.6207,-35.2201,-3.0558,,-157.6699,,0.7576,17.8155,108.9968,11.5272,103.5008,14.4822,11.8072,16.4419,12.2935,14.5739,19.8269,12.7675,9.5123,8.2165,14.9713,8.8946,,15.7659,10.6584,24.6317,77.5636,22.0836,23.6276,16.0817,13.0565,15.4017,16.1898,13.2596,33.8449,83.89,,-1.4303,,1371.875,10.386,15.4202,,-1103.0769,-2576.1905,14.7948,181.5891,,,5.1685,16.2914,23.5366,,,,42.5414,40.9326,,,34.8179,8.3182,6.0361,7.1956,,14.7789,,-328.6443,-78.8636,-46.3945,-28.8455,-2.7323,,,,,,,,,-266.2983,,,53.13,-66.4435,-16.7779,,,2633.3333,-27.2997,-7.7704,,-22.3294,-25.6617,-21.2782,-296.7164,12.5359,159.589,57.0823,,-45.5021,-209.9439,,-1729.3303,54.9559,,-299.1198,,-2.3272,-22.6514,,-20.4606,-47.6032,-46.0433,-8.4662,,-5.0434,184.047,2732.5,,-32.8025,-2.9811,-30.544,,68.5257,,34.5619,,24.2502,159.292,
Pretax Margin,PRETAX_INC_TO_NET_SALES,11.23,11.4042,10.5907,10.1609,11.5306,11.4239,10.6718,10.3752,11.5654,12.1854,10.428,10.8791,13.4098,7.0458,14.4904,11.1157,14.2461,15.9253,14.2255,15.0266,14.1892,14.9518,14.1858,14.0738,14.0452,15.3219,13.9218,13.2878,13.0713,15.0183,13.4413,10.4157,13.2285,14.4215,14.4591,13.0346,13.7063,15.4677,14.4217,13.9463,13.7243,15.2657,14.545,14.7143,14.9701,17.589,15.1524,15.9935,16.6842,17.1359,16.5768,8.7698,14.2068,15.2957,15.6593,15.2729,12.9618,13.421,14.0693,15.7919,13.3988,15.7444,16.4737,17.246,14.5989,16.3877,15.6057,7.238,16.4982,17.7905,14.1023,16.6003,12.8538,14.1588,11.0773,5.6649,6.9087,7.99,5.2863,6.2872,7.829,11.3834,10.183,8.6576,21.4212,12.9604,10.8222,11.9853,11.3953,11.6293,11.3458,13.7443,12.419,10.6794,10.2555,11.8381,9.9514,9.636,10.06,11.6014,6.2114,9.1823,7.3585,5.8094,0.855,12.6022,7.1424,8.91,-0.1972,3.8733,2.4329,-41.0436,1.0004,4.2384,-98.1618,1.2491,5.0536,-1.2642,-5.3467,1.7322,32.3653,-7.7239,-8.7431,12.2664,1.3942,-5.6813,3.145,-17.0763,-9.3097,-6.838,-1.6033,10.2681,44.8157,17.2359,1.7295,10.3434,11.624,15.9116,19.2339
Income before XO Margin,INC_BEF_XO_ITEMS_TO_NET_SALES,7.7548,7.7951,7.4164,7.491,7.8088,7.8762,7.2918,7.4298,7.9492,8.2165,7.1858,7.6621,8.9741,4.6551,9.1242,8.6918,9.9041,10.9338,10.2893,9.9205,9.4394,10.051,9.6204,9.9453,9.3143,10.4174,9.3399,9.4013,8.6609,10.1281,9.5432,9.7122,8.6691,10.073,9.809,9.6679,9.1805,10.7627,10.1247,9.8604,8.9891,10.6181,10.3132,10.6327,10.2484,12.564,11.3397,11.831,11.7968,13.5836,12.9285,9.0225,10.8023,11.6358,12.3478,12.6486,10.0051,11.1983,11.3436,13.8648,11.0951,12.9817,13.3866,14.4006,11.8056,13.5225,13.2602,4.639,13.3139,14.2432,12.5831,14.8599,10.8348,11.9086,9.9229,8.6485,7.7217,7.409,6.5817,7.5598,6.5934,9.0205,9.2764,10.103,10.0622,10.4117,9.5668,10.747,9.469,10.2516,9.7753,11.6053,10.8947,9.7926,9.2696,13.0831,8.0955,9.0345,8.8009,11.039,-17.9063,6.37,6.8739,8.0746,1.4909,11.0829,7.0804,11.2692,0.1935,4.0038,4.2299,-34.9745,1.1804,2.5067,-98.3841,2.6303,4.423,-0.4912,-5.5223,-0.8661,32.0883,-6.7777,-6.1363,11.7815,0.5624,-3.1228,3.1343,-17.2585,-9.5385,-7.9776,-1.6932,10.5664,42.9449,14.3461,0.9282,8.1759,9.6431,14.5371,17.2221
Net Income Margin,PROF_MARGIN,7.6422,7.6544,7.3025,7.3024,-6.0887,7.746,7.2918,7.28,8.617,8.6957,7.9445,8.3603,2.5518,9.9042,9.1928,8.775,8.4621,10.3362,9.4469,4.3913,9.1785,9.7901,9.3872,9.5411,8.9599,10.0947,9.0026,9.0467,8.3858,9.8902,9.236,9.4469,8.4198,9.8283,9.5254,9.3868,8.956,10.3657,9.7853,9.5184,8.6617,10.3218,9.9683,10.2828,8.4544,12.2466,11.1394,11.5779,8.2157,13.3129,12.6682,8.8067,9.8648,11.4191,10.9949,12.4011,9.7552,10.6889,10.6373,12.8726,11.6505,12.9288,12.9841,8.4964,12.6427,13.3312,13.0431,15.7926,11.8147,13.1396,13.1955,14.0401,10.333,10.8284,9.2354,8.0354,7.4428,6.8818,6.6754,7.3596,5.4248,8.4829,5.8404,11.091,9.8922,10.7546,9.2622,9.8905,8.7883,8.624,9.843,10.4628,10.5827,8.963,9.0402,8.1462,8.992,11.1052,11.1055,15.4127,-52.0098,-4.781,8.9953,19.2356,0.8191,9.5834,6.9805,11.2938,-0.3088,3.6327,4.4353,-34.2309,-4.1277,2.7433,-97.3367,2.8718,16.1607,0.5424,-40.3382,3.4267,31.8061,-11.8239,-6.1741,12.5327,-16.4138,-6.1962,6.7693,-18.9282,-8.9625,-6.2434,1.1126,10.1992,51.8155,0.3769,2.0062,8.1913,9.5745,13.9213,18.8173
